,Tempo,m,hat_m
0,0.0,1.0,0.02945243123378459
1,0.20202020202020202,0.9979866764718844,0.0895199990248007
2,0.40404040404040403,0.9919548128307955,0.1505084012441895
3,0.6060606060606061,0.9819286972627066,0.21131673401661272
4,0.8080808080808081,0.9679487013963568,0.2717001436479006
5,1.0101010101010102,0.9500711177409455,0.33124374518510324
6,1.2121212121212122,0.9283679330160723,0.3897077775603552
7,1.4141414141414141,0.902926538286622,0.44678273609424723
8,1.6161616161616161,0.8738493770697868,0.5022388000729988
9,1.8181818181818181,0.8412535328311844,0.5558111237666794
10,2.0202020202020203,0.8052702575310593,0.607283990335775
11,2.2222222222222223,0.7660444431189757,0.6564233830375092
12,2.4242424242424243,0.7237340381050692,0.7030314348809007
13,2.6262626262626263,0.6785094115571328,0.7469016775898958
14,2.8282828282828283,0.630552667084525,0.7878574611808113
15,3.0303030303030303,0.5800569095712026,0.8257198482430912
16,3.2323232323232323,0.5272254676105089,0.8603363803073024
17,3.4343434343434343,0.4722710747726915,0.8915567283017437
18,3.6363636363636362,0.41541501300189754,0.9192551789040313
19,3.8383838383838382,0.3568862215918854,0.943311363658447
20,4.040404040404041,0.29692037532827725,0.963628416799398
21,4.242424242424242,0.23575893550944566,0.9801171896336307
22,4.444444444444445,0.17364817766692328,0.9927112876924798
23,4.646464646464646,0.11083819990103436,1.0013537611125667
24,4.848484848484849,0.04758191582373963,1.006009809703714
25,5.05050505050505,-0.015865963834779926,1.0066552783266347
26,5.252525252525253,-0.07924995685678662,1.0032875679070232
27,5.454545454545454,-0.14231483827325295,0.9959154722246126
28,5.656565656565657,-0.20480666806518447,0.9845686761068624
29,5.858585858585858,-0.2664738136900267,0.969288603303933
30,6.0606060606060606,-0.3270679633174114,0.9501367812761308
31,6.262626262626262,-0.3863451256931165,0.9271864588400734
32,6.4646464646464645,-0.44406661260576036,0.9005300488441448
33,6.666666666666667,-0.5000000000000093,0.8702713357022301
34,6.8686868686868685,-0.5539200638660937,0.8365321605726413
35,7.070707070707071,-0.6056096871376716,0.799445082472729
36,7.2727272727272725,-0.6548607339452667,0.7591594379763861
37,7.474747474747475,-0.7014748877063225,0.7158343512217019
38,7.6767676767676765,-0.7452644496757355,0.6696442770417157
39,7.878787878787879,-0.7860530947427857,0.620772278526306
40,8.080808080808081,-0.8236765814298299,0.5694151459643717
41,8.282828282828282,-0.8579834132349587,0.5157768780723179
42,8.484848484848484,-0.888835448654906,0.4600734572236379
43,8.686868686868687,-0.9161084574320763,0.402526483565305
44,8.88888888888889,-0.9396926207859133,0.34336767844938787
45,9.09090909090909,-0.9594929736144848,0.2828326304642687
46,9.292929292929292,-0.9754297868853967,0.22116509288269826
47,9.494949494949495,-0.9874388886763955,0.1586108078330478
48,9.696969696969697,-0.9954719225730851,0.09542165934307562
49,9.8989898989899,-0.9994965423831852,0.031849546934234
50,10.1010101010101,-0.9994965423831869,-0.03184954693420025
51,10.303030303030303,-0.9954719225730847,-0.0954216593430433
52,10.505050505050505,-0.987438888676395,-0.15861080783300857
53,10.707070707070708,-0.9754297868854084,-0.22116509288265065
54,10.909090909090908,-0.9594929736145157,-0.2828326304642412
55,11.11111111111111,-0.939692620785912,-0.3433676784493777
56,11.313131313131313,-0.9161084574320747,-0.40252648356525683
57,11.515151515151516,-0.8888354486549304,-0.4600734572235986
58,11.717171717171716,-0.8579834132349858,-0.515776878072288
59,11.919191919191919,-0.8236765814298438,-0.5694151459643563
60,12.121212121212121,-0.7860530947428009,-0.6207722785262613
61,12.323232323232324,-0.7452644496757707,-0.669644277041697
62,12.525252525252524,-0.7014748877063399,-0.7158343512216697
63,12.727272727272727,-0.6548607339453066,-0.7591594379763711
64,12.929292929292929,-0.6056096871376911,-0.7994450824727042
65,13.131313131313131,-0.5539200638661378,-0.836532160572646
66,13.333333333333334,-0.49999999999998135,-0.8702713357022138
67,13.535353535353535,-0.44406661260580776,-0.9005300488440778
68,13.737373737373737,-0.3863451256931653,-0.9271864588400661
69,13.93939393939394,-0.32706796331746135,-0.9501367812761262
70,14.141414141414142,-0.26647381369002293,-0.9692886033039385
71,14.343434343434343,-0.20480666806523626,-0.9845686761067932
72,14.545454545454545,-0.14231483827333347,-0.9959154722246513
73,14.747474747474747,-0.0792499568567827,-1.0032875679070339
74,14.94949494949495,-0.015865963834804417,-1.0066552783266132
75,15.15151515151515,0.047581915823686774,-1.0060098097036818
76,15.353535353535353,0.11083819990095352,-1.0013537611125993
77,15.555555555555555,0.17364817766692714,-0.9927112876925164
78,15.757575757575758,0.23575893550942187,-0.9801171896335992
79,15.959595959595958,0.29692037532821314,-0.9636284167994076
80,16.161616161616163,0.35688622159186245,-0.9433113636584619
81,16.363636363636363,0.41541501300182354,-0.9192551789040145
82,16.565656565656564,0.47227107477261976,-0.8915567283018334
83,16.767676767676768,0.5272254676105365,-0.8603363803073343
84,16.96969696969697,0.5800569095711363,-0.8257198482431105
85,17.171717171717173,0.63055266708455,-0.7878574611809007
86,17.373737373737374,0.6785094115571566,-0.7469016775898575
87,17.575757575757574,0.7237340381050131,-0.7030314348809265
88,17.77777777777778,0.7660444431189966,-0.6564233830375281
89,17.97979797979798,0.8052702575310069,-0.6072839903357493
90,18.18181818181818,0.8412535328311328,-0.5558111237667456
91,18.383838383838384,0.8738493770697956,-0.5022388000730285
92,18.585858585858585,0.9029265382865809,-0.4467827360942754
93,18.78787878787879,0.9283679330160791,-0.3897077775604176
94,18.98989898989899,0.9500711177409501,-0.33124374518510785
95,19.19191919191919,0.9679487013963309,-0.2717001436479366
96,19.393939393939394,0.9819286972627087,-0.21131673401664552
97,19.595959595959595,0.991954812830782,-0.15050840124422024
98,19.7979797979798,0.9979866764718848,-0.08951999902483944
99,20.0,1.0,-0.029452431233815732
